ens_stable_id,ens_stable_id_version,refseq_stable_id,refseq_stable_id_version,mane_type,ens_gene_name
ENST00000677389,1,NM_005572,4,MANE PLUS CLINICAL,LMNA
ENST00000303728,5,NM_004676,2,MANE SELECT,PRY
ENST00000250823,5,NM_181880,2,MANE SELECT,VCY1B
ENST00000338981,7,NM_004654,4,MANE SELECT,USP9Y
ENST00000303804,5,NM_001002758,1,MANE SELECT,PRY2
ENST00000361365,7,NM_004681,4,MANE SELECT,EIF1AY
ENST00000331070,8,NM_004678,3,MANE SELECT,BPY2
ENST00000383032,6,NM_033284,2,MANE SELECT,TBL1Y
ENST00000428845,6,NM_001282469,3,MANE SELECT,TSPY10
ENST00000382707,6,NM_005058,4,MANE SELECT,RBMY1A1
ENST00000451548,6,NM_003308,4,MANE SELECT,TSPY1
ENST00000629237,2,NM_001039567,3,MANE SELECT,RPS4Y2
ENST00000383020,7,NM_001006121,4,MANE SELECT,RBMY1B
ENST00000382680,5,NM_001006120,3,MANE SELECT,RBMY1D
ENST00000382392,5,NM_001002760,1,MANE SELECT,BPY2B
ENST00000304790,3,NM_153716,2,MANE SELECT,HSFY2
ENST00000317961,9,NM_004653,5,MANE SELECT,KDM5D
ENST00000307393,3,NM_033108,3,MANE SELECT,HSFY1
ENST00000321217,5,NM_139214,3,MANE SELECT,TGIF2LY
ENST00000457222,6,NM_001077697,2,MANE SELECT,TSPY3
ENST00000303766,12,NM_152585,3,MANE SELECT,RBMY1F
ENST00000250838,6,NM_004825,2,MANE SELECT,CDY2A
ENST00000287721,13,NM_001243721,2,MANE SELECT,TSPY8
ENST00000382407,1,NM_001003894,2,MANE SELECT,CDY1B
ENST00000651267,2,NM_001143,2,MANE SELECT,AMELY
ENST00000382287,5,NM_001002761,1,MANE SELECT,BPY2C
ENST00000682740,1,NM_001388484,1,MANE SELECT,DAZ4
ENST00000382867,4,NM_001001722,2,MANE SELECT,CDY2B
ENST00000405239,6,NM_004081,7,MANE SELECT,DAZ1
ENST00000382365,7,NM_020364,4,MANE SELECT,DAZ3
ENST00000383070,2,NM_003140,3,MANE SELECT,SRY
ENST00000250784,13,NM_001008,4,MANE SELECT,RPS4Y1
ENST00000155093,8,NM_003411,4,MANE SELECT,ZFY
ENST00000336079,8,NM_004660,5,MANE SELECT,DDX3Y
ENST00000545955,6,NM_001258249,2,MANE SELECT,UTY
ENST00000284856,4,NM_004202,3,MANE SELECT,TMSB4Y
ENST00000250825,5,NM_004679,4,MANE SELECT,VCY
ENST00000381989,4,NM_006437,4,MANE SELECT,PARP4
ENST00000382172,4,NM_005932,4,MANE SELECT,MIPEP
ENST00000255324,10,NM_031277,3,MANE SELECT,RNF17
ENST00000316334,5,NM_153371,4,MANE SELECT,LNX2
ENST00000382374,9,NM_152726,3,MANE SELECT,MICU2
ENST00000380842,5,NM_015932,6,MANE SELECT,POMP
ENST00000380615,8,NM_032116,5,MANE SELECT,KATNAL1
ENST00000284885,8,NM_002772,3,MANE SELECT,TMPRSS15
ENST00000361479,10,NM_017520,4,MANE SELECT,MPHOSPH8
ENST00000314759,6,NM_145061,6,MANE SELECT,SKA3
ENST00000635918,2,NM_001355247,2,MANE SELECT,UBE2L5
ENST00000255465,7,NM_003914,4,MANE SELECT,CCNA1
ENST00000382353,6,NM_002010,3,MANE SELECT,FGF9
ENST00000255304,9,NM_005800,5,MANE SELECT,USPL1
ENST00000332715,6,NM_001105577,2,MANE SELECT,URAD
ENST00000341423,10,NM_002128,7,MANE SELECT,HMGB1
ENST00000379881,8,NM_017826,3,MANE SELECT,SOHLH2
ENST00000381033,5,NM_000209,4,MANE SELECT,PDX1
ENST00000379151,9,NM_018559,5,MANE SELECT,GPALPP1
ENST00000320027,10,NM_006644,4,MANE SELECT,HSPH1
ENST00000379161,5,NM_012345,3,MANE SELECT,NUFIP1
ENST00000284878,12,NM_001338,5,MANE SELECT,CXADR
ENST00000261667,8,NM_002267,4,MANE SELECT,KPNA3
ENST00000298248,12,NM_015974,3,MANE SELECT,CRYL1
ENST00000493196,2,NM_016940,3,MANE SELECT,RWDD2B
ENST00000381020,8,NM_001265,6,MANE SELECT,CDX2
ENST00000380958,8,NM_175854,8,MANE SELECT,PAN3
ENST00000334046,5,NM_181612,3,MANE SELECT,KRTAP19-6
ENST00000399928,6,NM_001286620,2,MANE SELECT,MAP3K7CL
ENST00000409308,6,NM_001079670,3,MANE SELECT,CAB39L
ENST00000400256,5,NM_130386,3,MANE SELECT,COLEC12
ENST00000357775,6,NM_032243,6,MANE SELECT,TXNDC2
ENST00000526991,3,NM_020412,5,MANE SELECT,CHMP1B
ENST00000269159,8,NM_014214,3,MANE SELECT,IMPA2
ENST00000338625,9,NM_014252,4,MANE SELECT,SLC25A15
ENST00000379221,4,NM_013238,3,MANE SELECT,DNAJC15
ENST00000330798,3,NM_181616,3,MANE SELECT,KRTAP20-2
ENST00000405846,5,NM_005288,4,MANE SELECT,GPR12
ENST00000340473,8,NM_004128,3,MANE SELECT,GTF2F2
ENST00000315677,8,NM_004746,4,MANE SELECT,DLGAP1
ENST00000334055,5,NM_181608,2,MANE SELECT,KRTAP19-2
ENST00000329621,6,NM_175857,4,MANE SELECT,KRTAP8-1
ENST00000382751,4,NM_014825,3,MANE SELECT,URB1
ENST00000335327,6,NM_006646,6,MANE SELECT,WASF3
ENST00000416044,1,NM_001128598,1,MANE SELECT,KRTAP25-1
ENST00000333892,3,NM_181617,3,MANE SELECT,KRTAP21-2
ENST00000480456,6,NM_021219,4,MANE SELECT,JAM2
ENST00000379747,9,NM_006475,3,MANE SELECT,POSTN
ENST00000399976,7,NM_006447,3,MANE SELECT,USP16
ENST00000261600,11,NM_005131,3,MANE SELECT,THOC1
ENST00000286808,5,NM_012131,3,MANE SELECT,CLDN17
ENST00000652641,2,NM_001320768,2,MANE SELECT,CYYR1
ENST00000303071,10,NM_017613,4,MANE SELECT,DONSON
ENST00000399312,3,NM_032476,4,MANE SELECT,MRPS6
ENST00000340345,6,NM_001085455,3,MANE SELECT,KRTAP24-1
ENST00000334664,3,NM_181615,2,MANE SELECT,KRTAP20-1
ENST00000335093,5,NM_181619,2,MANE SELECT,KRTAP21-1
ENST00000382828,2,NM_001350977,1,MANE SELECT,KRTAP20-4
ENST00000379179,8,NM_001010897,3,MANE SELECT,SERP2
ENST00000327228,5,NM_004066,3,MANE SELECT,CETN1
ENST00000450565,8,NM_001099733,2,MANE SELECT,ADCYAP1
ENST00000381815,9,NM_000819,5,MANE SELECT,GART
ENST00000492622,6,NM_001079673,2,MANE SELECT,FNDC3A
ENST00000574538,2,NM_022840,5,MANE SELECT,METTL4
ENST00000578921,6,NM_006868,4,MANE SELECT,RAB31
ENST00000319481,8,NM_080597,4,MANE SELECT,OSBPL1A
ENST00000379589,4,NM_005780,3,MANE SELECT,LHFPL6
ENST00000325686,7,NM_153218,4,MANE SELECT,LACC1
ENST00000378319,8,NM_001040443,3,MANE SELECT,PHF11
ENST00000381151,5,NM_006933,7,MANE SELECT,SLC5A3
ENST00000444335,1,NM_001164435,1,MANE SELECT,KRTAP21-3
ENST00000314103,6,NM_005441,3,MANE SELECT,CHAF1B
ENST00000286835,12,NM_020706,2,MANE SELECT,SCAF4
ENST00000025301,4,NM_016248,4,MANE SELECT,AKAP11
ENST00000400419,2,NM_024058,3,MANE SELECT,SMIM2
ENST00000377818,4,NM_001071775,3,MANE SELECT,MZT1
ENST00000352251,8,NM_025138,5,MANE SELECT,PROSER1
ENST00000261601,8,NM_005151,4,MANE SELECT,USP14
ENST00000359963,4,NM_014406,5,MANE SELECT,CCT8L2
ENST00000298738,3,NM_182542,3,MANE SELECT,ERICH6B
ENST00000343518,11,NM_001136213,1,MANE SELECT,POTEH
ENST00000380099,4,NM_004795,4,MANE SELECT,KL
ENST00000377942,7,NM_002590,4,MANE SELECT,PCDH8
ENST00000326291,11,NM_006346,4,MANE SELECT,PIBF1
ENST00000334058,3,NM_181610,3,MANE SELECT,KRTAP19-4
ENST00000399837,8,NM_001282225,2,MANE SELECT,ADA2
ENST00000334151,3,NM_181611,3,MANE SELECT,KRTAP19-5
ENST00000286788,9,NM_006585,4,MANE SELECT,CCT8
ENST00000314574,5,NM_005433,4,MANE SELECT,YES1
ENST00000444614,8,NM_144974,5,MANE SELECT,CCDC122
ENST00000390667,11,NM_024808,5,MANE SELECT,BORA
ENST00000300249,10,NM_014268,4,MANE SELECT,MAPRE2
ENST00000612978,5,NM_001242313,1,MANE SELECT,TMEM191B
ENST00000377844,9,NM_020866,3,MANE SELECT,KLHL1
ENST00000400546,6,NM_004540,5,MANE SELECT,NCAM2
ENST00000381140,10,NM_002097,3,MANE SELECT,GTF3A
ENST00000360542,5,NM_203405,2,MANE SELECT,KRTAP26-1
ENST00000255882,11,NM_058004,4,MANE SELECT,PI4KA
ENST00000355459,4,NM_181599,3,MANE SELECT,KRTAP13-1
ENST00000361371,10,NM_015565,3,MANE SELECT,LTN1
ENST00000377962,8,NM_007015,3,MANE SELECT,CNMD
ENST00000343307,5,NM_194318,4,MANE SELECT,B3GLCT
ENST00000309594,5,NM_024026,5,MANE SELECT,MRPL57
ENST00000346798,8,NM_000484,4,MANE SELECT,APP
ENST00000239882,7,NM_172373,4,MANE SELECT,ELF1
ENST00000349847,4,NM_144777,3,MANE SELECT,SCEL
ENST00000331437,4,NM_031890,4,MANE SELECT,TMEM121B
ENST00000319363,11,NM_014339,7,MANE SELECT,IL17RA
ENST00000317615,11,NM_020232,5,MANE SELECT,PSMG2
ENST00000458659,3,NM_183422,4,MANE SELECT,TSC22D1
ENST00000619998,1,NM_001355479,1,MANE SELECT,GGTLC3
ENST00000427926,6,NM_007098,4,MANE SELECT,CLTCL1
ENST00000280481,9,NM_207361,6,MANE SELECT,FREM2
ENST00000327606,4,NM_000529,2,MANE SELECT,MC2R
ENST00000377930,1,NM_001130404,1,MANE SELECT,PRR20B
ENST00000359358,9,NM_020805,3,MANE SELECT,KLHL14
ENST00000377636,8,NM_014832,5,MANE SELECT,TBC1D4
ENST00000262039,9,NM_002647,4,MANE SELECT,PIK3C3
ENST00000452123,3,NM_001130406,1,MANE SELECT,PRR20D
ENST00000619918,1,NM_015672,2,MANE SELECT,RIMBP3
ENST00000377104,4,NM_005842,4,MANE SELECT,SPRY2
ENST00000434815,1,NM_001130407,1,MANE SELECT,PRR20E
ENST00000382822,2,NM_001099219,1,MANE SELECT,KRTAP19-8
ENST00000239878,9,NM_016617,4,MANE SELECT,UFM1
ENST00000382830,2,NM_001164434,1,MANE SELECT,KRTAP22-2
ENST00000542230,7,NM_006134,7,MANE SELECT,TMEM50B
ENST00000263205,11,NM_001003891,3,MANE SELECT,MED15
ENST00000390689,3,NM_181607,3,MANE SELECT,KRTAP19-1
ENST00000613252,5,NM_080759,6,MANE SELECT,DACH1
ENST00000377687,6,NM_001730,5,MANE SELECT,KLF5
ENST00000261597,9,NM_006101,3,MANE SELECT,NDC80
ENST00000338910,9,NM_001354909,2,MANE SELECT,PSPC1
ENST00000310521,6,NM_152719,3,MANE SELECT,CBY2
ENST00000318388,11,NM_021074,5,MANE SELECT,NDUFV2
ENST00000332378,6,NM_175858,3,MANE SELECT,KRTAP11-1
ENST00000391624,1,NM_181605,4,MANE SELECT,KRTAP6-3
ENST00000399899,2,NM_199328,3,MANE SELECT,CLDN8
ENST00000261296,7,NM_014305,4,MANE SELECT,TGDS
ENST00000410005,2,NM_001282537,2,MANE SELECT,C21orf140
ENST00000282397,9,NM_002019,4,MANE SELECT,FLT1
ENST00000588072,6,NM_023075,6,MANE SELECT,MPPE1
ENST00000334063,6,NM_181609,4,MANE SELECT,KRTAP19-3
ENST00000379453,6,NM_000678,4,MANE SELECT,ADRA1D
ENST00000217260,9,NM_001029871,4,MANE SELECT,RSPO4
ENST00000246105,4,NM_080831,4,MANE SELECT,DEFB129
ENST00000381922,5,NM_015985,4,MANE SELECT,ANGPT4
ENST00000303415,7,NM_018556,4,MANE SELECT,SIRPG
ENST00000270112,7,NM_014586,2,MANE SELECT,HUNK
ENST00000284881,9,NM_001100420,2,MANE SELECT,C21orf91
ENST00000303142,11,NM_152504,4,MANE SELECT,SHLD1
ENST00000246024,7,NM_021156,4,MANE SELECT,TMX4
ENST00000526893,6,NM_001178126,2,MANE SELECT,IGLL5
ENST00000400485,6,NM_015358,3,MANE SELECT,MORC3
ENST00000334534,10,NM_001009608,3,MANE SELECT,SLX4IP
ENST00000215743,8,NM_005940,5,MANE SELECT,MMP11
ENST00000378961,9,NM_001819,3,MANE SELECT,CHGB
ENST00000403766,8,NM_001144072,2,MANE SELECT,UBAC2
ENST00000382410,3,NM_153325,4,MANE SELECT,DEFB125
ENST00000377142,5,NM_002509,4,MANE SELECT,NKX2-2
ENST00000262919,10,NM_139321,3,MANE SELECT,ATRN
ENST00000380071,8,NM_002915,4,MANE SELECT,RFC3
ENST00000302097,3,NM_080740,5,MANE SELECT,ZNF280A
ENST00000331923,9,NM_016631,4,MANE SELECT,PAXBP1
ENST00000332585,11,NM_030758,4,MANE SELECT,OSBP2
ENST00000377028,10,NM_001922,5,MANE SELECT,DCT
ENST00000378827,5,NM_001200,4,MANE SELECT,BMP2
ENST00000377208,7,NM_006237,4,MANE SELECT,POU4F1
ENST00000378392,6,NM_022096,6,MANE SELECT,ANKEF1
ENST00000376387,5,NM_004800,3,MANE SELECT,TM9SF2
ENST00000420428,7,NM_020180,4,MANE SELECT,CELF4
ENST00000217305,3,NM_024411,5,MANE SELECT,PDYN
ENST00000418532,6,NM_001242868,2,MANE SELECT,SLAIN1
ENST00000479548,2,NM_001162495,3,MANE SELECT,C21orf62
ENST00000202625,7,NM_198994,3,MANE SELECT,TGM6
ENST00000381941,8,NM_001042353,3,MANE SELECT,FAM110A
ENST00000310227,3,NM_002196,3,MANE SELECT,INSM1
ENST00000334391,5,NM_001037732,3,MANE SELECT,DEFB128
ENST00000381318,8,NM_003024,3,MANE SELECT,ITSN1
ENST00000382108,8,NM_001166271,3,MANE SELECT,SPATA13
ENST00000305958,9,NM_175839,3,MANE SELECT,SMOX
ENST00000405655,8,NM_206956,3,MANE SELECT,PRAME
ENST00000434239,4,NM_001145194,2,MANE SELECT,AKAIN1
ENST00000255226,11,NM_007163,4,MANE SELECT,SLC14A2
ENST00000382398,4,NM_030931,4,MANE SELECT,DEFB126
ENST00000254998,3,NM_013248,3,MANE SELECT,NXT1
ENST00000378226,7,NM_014962,4,MANE SELECT,BTBD3
ENST00000383432,8,NM_006788,4,MANE SELECT,RALBP1
ENST00000626650,3,NM_080764,4,MANE SELECT,ZNF280B
ENST00000379600,8,NM_001012754,4,MANE SELECT,NHLRC3
ENST00000248948,4,NM_013378,3,MANE SELECT,VPREB3
ENST00000324198,11,NM_005160,4,MANE SELECT,GRK3
ENST00000351817,5,NM_033176,2,MANE SELECT,NKX2-4
ENST00000285093,15,NM_006111,3,MANE SELECT,ACAA2
ENST00000342308,10,NM_001009923,2,MANE SELECT,TMEM230
ENST00000219022,3,NM_006418,5,MANE SELECT,OLFM4
ENST00000377931,1,NM_198441,2,MANE SELECT,PRR20A
ENST00000651721,2,NM_002271,6,MANE SELECT,IPO5
ENST00000307790,8,NM_032204,5,MANE SELECT,ASCC2
ENST00000415083,7,NM_001007559,3,MANE SELECT,SS18
ENST00000262545,7,NM_002594,5,MANE SELECT,PCSK2
ENST00000254976,7,NM_130811,4,MANE SELECT,SNAP25
ENST00000278772,9,NM_024325,6,MANE SELECT,ZNF343
ENST00000358763,7,NM_003490,4,MANE SELECT,SYN3
ENST00000246012,2,NM_005492,4,MANE SELECT,CST8
ENST00000262487,5,NM_080826,2,MANE SELECT,ISM1
ENST00000377813,6,NM_001365613,2,MANE SELECT,RRBP1
ENST00000400324,9,NM_001042517,2,MANE SELECT,DIAPH3
ENST00000409652,5,NM_030641,4,MANE SELECT,APOL6
ENST00000215781,3,NM_020530,6,MANE SELECT,OSM
ENST00000331457,9,NM_004147,4,MANE SELECT,DRG1
ENST00000262126,9,NM_015208,5,MANE SELECT,ANKRD12
ENST00000249014,5,NM_152243,3,MANE SELECT,CDC42EP1
ENST00000339157,10,NM_001042472,3,MANE SELECT,ABHD12
ENST00000336726,11,NM_152510,4,MANE SELECT,HORMAD2
ENST00000341420,5,NM_198391,3,MANE SELECT,FLRT3
ENST00000304710,5,NM_001900,5,MANE SELECT,CST5
ENST00000266087,12,NM_012179,4,MANE SELECT,FBXO7
ENST00000376309,4,NM_153324,4,MANE SELECT,DEFB123
ENST00000377918,8,NM_001040429,3,MANE SELECT,PCDH17
ENST00000646607,2,NM_001122659,3,MANE SELECT,EDNRB
ENST00000248899,11,NM_000631,5,MANE SELECT,NCF4
ENST00000282344,11,NM_182488,4,MANE SELECT,USP12
ENST00000377534,8,NM_001306080,2,MANE SELECT,LMO7
ENST00000203001,7,NM_015939,5,MANE SELECT,TRMT6
ENST00000615052,5,NM_145055,5,MANE SELECT,C18orf25
ENST00000341976,5,NM_021916,4,MANE SELECT,ZNF70
ENST00000376862,4,NM_024893,3,MANE SELECT,SYNDIG1
ENST00000378789,4,NM_017545,3,MANE SELECT,HAO1
ENST00000400288,7,NM_001007467,3,MANE SELECT,SFI1
ENST00000377009,8,NM_130794,2,MANE SELECT,CST11
ENST00000377191,5,NM_012255,5,MANE SELECT,XRN2
ENST00000285116,8,NM_145060,4,MANE SELECT,SKA1
ENST00000379019,7,NM_019593,5,MANE SELECT,GPCPD1
ENST00000282041,11,NM_020964,3,MANE SELECT,EPG5
ENST00000246071,8,NM_003092,5,MANE SELECT,SNRPB2
ENST00000253381,3,NM_054112,3,MANE SELECT,DEFB118
ENST00000398752,11,NM_004046,6,MANE SELECT,ATP5F1A
ENST00000246006,5,NM_012072,4,MANE SELECT,CD93
ENST00000262460,5,NM_021067,5,MANE SELECT,GINS1
ENST00000480798,2,NM_003650,4,MANE SELECT,CST7
ENST00000399135,6,NM_001146079,2,MANE SELECT,CLDN14
ENST00000217456,3,NM_020531,3,MANE SELECT,APMAP
ENST00000609713,2,NM_002240,5,MANE SELECT,KCNJ6
ENST00000402142,4,NM_021096,4,MANE SELECT,CACNA1I
ENST00000377873,8,NM_001195,5,MANE SELECT,BFSP1
ENST00000290299,7,NM_001697,3,MANE SELECT,ATP5PO
ENST00000506447,5,NM_032142,4,MANE SELECT,CEP192
ENST00000379487,5,NM_007187,5,MANE SELECT,WBP4
ENST00000315190,4,NM_203451,3,MANE SELECT,SERTM1
ENST00000378863,9,NM_019095,6,MANE SELECT,CRLS1
ENST00000381527,8,NM_001260,3,MANE SELECT,CDK8
ENST00000382835,2,NM_001077711,1,MANE SELECT,KRTAP27-1
ENST00000299295,7,NM_024944,3,MANE SELECT,CHODL
ENST00000335694,4,NM_178311,3,MANE SELECT,GGTLC1
ENST00000397701,9,NM_001314025,2,MANE SELECT,YBEY
ENST00000376945,4,NM_007084,4,MANE SELECT,SOX21
ENST00000380752,10,NM_003045,5,MANE SELECT,SLC7A1
ENST00000201979,3,NM_014012,6,MANE SELECT,REM1
ENST00000309117,11,NM_006052,2,MANE SELECT,VPS26C
ENST00000304725,3,NM_001322,3,MANE SELECT,CST2
ENST00000376503,10,NM_005073,4,MANE SELECT,SLC15A1
ENST00000246069,12,NM_006870,4,MANE SELECT,DSTN
ENST00000377603,5,NM_006466,4,MANE SELECT,POLR3F
ENST00000330377,3,NM_020070,4,MANE SELECT,IGLL1
ENST00000170150,4,NM_025227,3,MANE SELECT,BPIFB2
ENST00000454349,7,NM_001162501,2,MANE SELECT,TNRC6B
ENST00000291700,9,NM_006272,3,MANE SELECT,S100B
ENST00000381482,8,NM_080836,4,MANE SELECT,STK35
ENST00000291688,6,NM_003906,5,MANE SELECT,MCM3AP
ENST00000378858,5,NM_152611,5,MANE SELECT,LRRN4
ENST00000246104,7,NM_033129,4,MANE SELECT,SCRT2
ENST00000202677,12,NM_020343,4,MANE SELECT,RALGAPA2
ENST00000216127,5,NM_014310,4,MANE SELECT,RASD2
ENST00000215912,10,NM_052880,5,MANE SELECT,PIK3IP1
ENST00000379561,6,NM_002015,4,MANE SELECT,FOXO1
ENST00000249044,2,NM_030642,1,MANE SELECT,APOL5
ENST00000343605,5,NM_001001479,4,MANE SELECT,SLC35E4
ENST00000359003,7,NM_014071,5,MANE SELECT,NCOA6
ENST00000349995,10,NM_031431,4,MANE SELECT,COG3
ENST00000398545,5,NM_145020,5,MANE SELECT,CFAP53
ENST00000404699,7,NM_001303508,2,MANE SELECT,ISX
ENST00000286800,8,NM_001186,4,MANE SELECT,BACH1
ENST00000399022,9,NM_018170,5,MANE SELECT,RPRD1A
ENST00000332509,8,NM_003560,4,MANE SELECT,PLA2G6
ENST00000382826,2,NM_001128077,1,MANE SELECT,KRTAP20-3
ENST00000334680,3,NM_181620,2,MANE SELECT,KRTAP22-1
ENST00000355680,8,NM_206962,4,MANE SELECT,PRMT2
ENST00000389797,8,NM_001164211,2,MANE SELECT,LRCH1
ENST00000326695,10,NM_002930,4,MANE SELECT,RIT2
ENST00000391403,4,NM_172241,3,MANE SELECT,CTAGE1
ENST00000382388,4,NM_139074,4,MANE SELECT,DEFB127
ENST00000377103,3,NM_000361,3,MANE SELECT,THBD
ENST00000375712,4,NM_004798,4,MANE SELECT,KIF3B
ENST00000262127,7,NM_024899,4,MANE SELECT,CEP76
ENST00000376958,5,NM_180989,6,MANE SELECT,GPR180
ENST00000399002,7,NM_018327,4,MANE SELECT,SPTLC3
ENST00000381736,8,NM_014089,4,MANE SELECT,NUP58
ENST00000354297,9,NM_130852,3,MANE SELECT,BPIFA1
ENST00000290429,11,NM_173467,5,MANE SELECT,MCAT
ENST00000255224,8,NM_020783,4,MANE SELECT,SYT4
ENST00000251108,10,NM_030911,4,MANE SELECT,CDADC1
ENST00000331728,9,NM_005569,4,MANE SELECT,LIMK2
ENST00000256906,5,NM_021624,4,MANE SELECT,HRH4
ENST00000327155,10,NM_002894,3,MANE SELECT,RBBP8
ENST00000645237,2,NM_005845,5,MANE SELECT,ABCC4
ENST00000399889,4,NM_181621,4,MANE SELECT,KRTAP13-2
ENST00000360596,7,NM_018677,4,MANE SELECT,ACSS2
ENST00000266088,9,NM_000343,4,MANE SELECT,SLC5A1
ENST00000338483,7,NM_012323,4,MANE SELECT,MAFF
ENST00000325157,7,NM_152512,4,MANE SELECT,ENTHD1
ENST00000317571,8,NM_001135993,2,MANE SELECT,TTC39C
ENST00000302326,5,NM_002430,3,MANE SELECT,MN1
ENST00000216190,13,NM_003753,4,MANE SELECT,EIF3D
ENST00000442544,7,NM_005215,4,MANE SELECT,DCC
ENST00000400384,7,NM_002747,4,MANE SELECT,MAPK4
ENST00000377767,9,NM_014953,5,MANE SELECT,DIS3
ENST00000389474,8,NM_213602,3,MANE SELECT,SIGLEC15
ENST00000400552,1,NM_001037730,1,MANE SELECT,DEFB115
ENST00000269439,12,NM_152470,3,MANE SELECT,RNF165
ENST00000398439,8,NM_031939,6,MANE SELECT,MRO
ENST00000249075,4,NM_002309,5,MANE SELECT,LIF
ENST00000248901,11,NM_013385,5,MANE SELECT,CYTH4
ENST00000455146,8,NM_020751,3,MANE SELECT,COG6
ENST00000374810,8,NM_021202,3,MANE SELECT,TP53INP2
ENST00000620105,5,NM_001288980,2,MANE SELECT,C18orf54
ENST00000375687,10,NM_015338,6,MANE SELECT,ASXL1
ENST00000390665,9,NM_013239,5,MANE SELECT,PPP2R3B
ENST00000360938,8,NM_005239,6,MANE SELECT,ETS2
ENST00000381578,6,NM_000451,4,MANE SELECT,SHOX
ENST00000323563,8,NM_005830,4,MANE SELECT,MRPS31
